romExtensionlessFileName,romFileName,romSize,romHashCRC,romHashMD5,romHashSHA1
"Elevator Action (USA)","Elevator Action (USA).nes",40960,2AC87283,370F5862746B67637087B3B4CD64B163,C9723C2C2722D26DE6712695C104FB139A734500
"Elevator Action (Japan)","Elevator Action (Japan).nes",40960,FCDACA80,2A0DF2F8887C57BBBD64889CC75DD9E0,6AE9F6D628BBB23FEE068D1A9ED4DCA12693A229
"Elevator Action (Japan) (Rev A)","Elevator Action (Japan) (Rev A).nes",40960,7A3A49ED,2ACF27BF884101D2EB303F51F3579503,EC8D464F35972B4DD074E569109CA35B46895D22
"Eliminator Boat Duel (USA)","Eliminator Boat Duel (USA).nes",262144,059E0CDF,3B74DEBFB73B6C2DF4E986EA7A44AC34,A7324E0A32800734AF4F02B0E85AC063C3736A31
"Eliminator Boat Duel (Europe)","Eliminator Boat Duel (Europe).nes",262144,924CDE0B,9D2152B6AFB83EEBD9AD783D504D3970,653974F364C504FD7949E3945089E0B220107FA3
"Elite (Europe) (En,Fr,De)","Elite (Europe) (En,Fr,De).nes",131072,A4BDCC1D,2C832D9FAC3229CB7C32A5FE1DD65AD7,8D7CA48394996EF45AB1094B582D00AD7B028F21
"Elite (Unknown) (NTSC Demo)","Elite (Unknown) (NTSC Demo).nes",131072,BC7485B5,ADA42A2576D85B29DA663BBF35B69288,FCF9FF27F097892148EAEC439AB79BC53164D751
"Elysion (Japan)","Elysion (Japan).nes",262144,240C6DE8,EE8EA8B2EC6D2A456B41F81614ED02EF,64952D7C1A1C79438C80BE9CBECC085C01E5636B
"Emoyan no 10 Bai Pro Yakyuu (Japan)","Emoyan no 10 Bai Pro Yakyuu (Japan).nes",262144,9D45D8EC,351F4E323C84F79968C5CB380D76A125,C69C57F1B519381BD29707D6DCFB96ADD6799009
"Empereur, L' (USA)","Empereur, L' (USA).nes",393216,9C18762B,F786FA0C6E82D032C399E0795E11EBDB,6197D576DD1C2A2304BE82B7BE6768A13C40BCF9
"Empereur, L' (Japan)","Empereur, L' (Japan).nes",393216,6396B988,B0C717C4CD146B682666FC22571E19AB,B326D1984D5D369BC168028AD7672D2EFC2ECDDB
"Eric Cantona Football Challenge - Goal! 2 (Europe)","Eric Cantona Football Challenge - Goal! 2 (Europe).nes",262144,D20BB617,4341F238042EADDC3A35F69FF8E40443,EBE76610430210576BBCEFC9986F079339263EEA
"Erika to Satoru no Yume Bouken (Japan)","Erika to Satoru no Yume Bouken (Japan).nes",262144,EF7996BF,E9393CF6E90F5A59BEDF4232E81CEA60,B3515C7BF2DA2DE612FCFB58EB3B54F7EA4436CE
"Erunaaku no Zaihou (Japan)","Erunaaku no Zaihou (Japan).nes",131072,F450DB3A,C6CEE2F1A33FE4E40A420846A7FA5232,6E9889DE639EB6CF681546AD15FF3F643B0F4ECA
"Escape from Atlantis, The (USA) (Proto2) (Unl)","Escape from Atlantis, The (USA) (Proto2) (Unl).nes",131072,0AEA38F7,473039C69061A1B5FCA5C277C4A0622E,4BC9CC62C0B100697B3D45D911B5E13B5F4CF9DB
"Escape from Atlantis, The (USA) (Proto1) (Unl)","Escape from Atlantis, The (USA) (Proto1) (Unl).nes",131072,BD139BE7,4C58C5403C0F3BB5EB9E4A130F4AD9AD,9DA5DF0820418832F3ADCAA4C792AE6DCE320189
"Esper Bouken Tai (Japan)","Esper Bouken Tai (Japan).nes",262144,7B0A41B9,4FD1D5A4D8399681FE80D2AC10F7D29F,A47FB03C1CF990124FD576BD947800B733C0A07E
"Esper Dream 2 - Aratanaru Tatakai (Japan)","Esper Dream 2 - Aratanaru Tatakai (Japan).nes",393216,209B4BED,DEF4B50FCF7DA9E0D766BAB3D139AD41,84CCB974196FA5D9AB4A15111488C9C639CCB2EA
"Excitebike (Japan, USA)","Excitebike (Japan, USA).nes",24576,49AEB3A6,9B0727E0ADB0A7B4F94E072B7CF28A5A,BA8D9227A0D02B62EE6CB9E691FA5A5134C303A8
"Excitebike (Europe)","Excitebike (Europe).nes",24576,8A0C7337,16C66D6EE6827FF49E3A2EFBF4B66C5A,6281D62C1CBB34B1734D20747A8E3D8DE2AF1443
"Exciting Boxing (Japan)","Exciting Boxing (Japan).nes",262144,AC4BF9DC,DFD046719B25FB2424F0D2B528A6E41B,00FCC73DEEE69E35C551D638EA106F0A5487825B
"Exciting Rally - World Rally Championship (Japan)","Exciting Rally - World Rally Championship (Japan).nes",262144,E15C973D,C7E189A80F0E0D49062D6097C8040B94,3C9A7771024DFC9622C87CF435D39526E9BE9AA4
"Exed Exes (Japan)","Exed Exes (Japan).nes",40960,C05A365B,27D2C795C0D4588D7A12F35854ED0B44,E896EF099042628C025DC3AB15735F3EC15B090B
"Exerion (Japan)","Exerion (Japan).nes",24576,BEB30478,011BFCF2AA3685CBBA2CEE44D46695D1,CC78791139CB5A7241A4458E0BD219D6B84814F8
"Exerion (Japan) (En) (Proto) [b]","Exerion (Japan) (En) (Proto) [b].nes",65536,A23F0A27,63E6A9CFC0ECF13DA9D8C02867A7EC47,6DFA722C71B5ACB6CE0A7207E8ECECC0FD7DA396
"Exodus - Journey to the Promised Land (USA) (v4.0) (Unl)","Exodus - Journey to the Promised Land (USA) (v4.0) (Unl).nes",262144,0AB26DB6,0059F25604F553E1DFD3ECD12CBCC8DC,1BF58D195B2B3AEC88B58B48DECFE0384B66B7C4
"Exodus - Journey to the Promised Land (USA) (v5.0) (Unl)","Exodus - Journey to the Promised Land (USA) (v5.0) (Unl).nes",262144,5F5BFA54,28260ABD8EC459ED60707694E8C4FE91,648C6073B1F2A95343352165754A717BDA9083CC
"Exploding Fist (USA) (Proto 2)","Exploding Fist (USA) (Proto 2).nes",65536,1C31DD60,815E0663C72C42426E8D96095DD22C71,0EF8723D77B65ADC89E3638FB396F368EFD141E4
"Exploding Fist (USA) (Proto 1)","Exploding Fist (USA) (Proto 1).nes",65536,B97BFDD7,7E0A4B3D5E3E7FDDF3347C6249C454F0,570661C23D994FA299F1185AFC1874DD10E5E0AB
"F-1 Race (Japan)","F-1 Race (Japan).nes",24576,E0604F76,FE6E13D1382F94DC0A5391053C4096BC,D6D82CF48D97BD5702F17B3DDF6D06392A31A7E3
"F-1 Sensation (Japan)","F-1 Sensation (Japan).nes",262144,81241DEC,20FBB12B4C5566DEE7E56B8EF7D1521B,D50657116985E952C409E98CA2C824631188863A
"F-117A - Stealth Fighter (USA)","F-117A - Stealth Fighter (USA).nes",524288,0A7E62D4,DD5EF6EA48F538BE7EC0EC40B217E611,C8909540BC7C1EF643EADC8AB9477F5532E52945
"F-15 Strike Eagle (Europe)","F-15 Strike Eagle (Europe).nes",524288,989C1019,6BF9533CA1E20B46FC95ACC42FC528BE,B9607E670DA81FA5C72ED66A9BD8277D41C799F9
"F-15 Strike Eagle (Sweden) (Sv,Da,Fi)","F-15 Strike Eagle (Sweden) (Sv,Da,Fi).nes",524288,872DE7A2,61D8E19CEE58F1E97C619C941955E94C,0F4E4C212A6BCCAD4561EA31889D522007FD5D81
"F-15 Strike Eagle (Italy)","F-15 Strike Eagle (Italy).nes",524288,FA74F656,AFA032DDE22CD3DC36B4274E623EF8A4,FB9D508379AEA8FBE0477501C322EFEF0147C397
"F-15 Strike Eagle (USA)","F-15 Strike Eagle (USA).nes",524288,0BCAA4D7,E0B8BB2D20D54BCFA01BEE0DA95F60CE,C08BD7F4E786BCB1F6FE31B1BC4815BA83C69E23
"F-15 Strike Eagle (France) (En,Fr,Nl)","F-15 Strike Eagle (France) (En,Fr,Nl).nes",524288,BBB710D9,56D89F7BA9D8E5BE1902ADF7F0FFBE89,4A9396C427A89886C93CE6C794C2EB4EF96E750B
"F-15 Strike Eagle (Germany)","F-15 Strike Eagle (Germany).nes",524288,D353D351,D47C5BC894A2F6A19FD23F9DD8C6D2F6,0BE209C47D70A764A5747617E35054E632D8526F
"F1 Circus (Japan)","F1 Circus (Japan).nes",393216,ECBF33CE,ADC2250BBFBCB3E03DDED231217A1D26,A9F026EEDAC51D445358F8BC4FBCDA40E0CDFF7B
"F15 City War (USA) (v1.1) (Unl)","F15 City War (USA) (v1.1) (Unl).nes",65536,F3841DCD,7F9556BE3CCF75B9C71316C6295A3E1A,0EE24D0A864845449EF7434822C12FA0F063DE56
"F15 City War (USA) (v1.0) (Unl)","F15 City War (USA) (v1.0) (Unl).nes",65536,88A6B192,A65015646932E8F738A2C4E76B7DB0ED,12F58963DD70D32CCA2784BC1D83EC889FEC8E5D
"Famicom Doubutsu Seitai Zukan! - Katte ni Shirokuma - Mori o Sukue no Maki! (Japan)","Famicom Doubutsu Seitai Zukan! - Katte ni Shirokuma - Mori o Sukue no Maki! (Japan).nes",262144,F8C1A690,47B8A8069544BF478EBE61528CD3AADB,374446A798243FEC986673A670DCECA2FD229818
"Famicom Igo Nyuumon (Japan)","Famicom Igo Nyuumon (Japan).nes",163840,2470402B,B580AB0254C77F1B9D910A4F3EEB09A1,2B1417C95FD68607401B27F145761A5C332FA600
"Famicom Jump - Eiyuu Retsuden (Japan)","Famicom Jump - Eiyuu Retsuden (Japan).nes",393216,D343C66A,9B84CCC692C97134F4936CA50E660741,31F5C7E3E4219134CD67E15E7C7B1B2CE4A4A2EC
"Famicom Jump II - Saikyou no 7 Nin (Japan)","Famicom Jump II - Saikyou no 7 Nin (Japan).nes",524288,3F15D20D,DE69EF7E7AFC11B70F8D9A40DF6A751F,1D7417D31E19B590AFCEB6A8A6E7B9CAB9F9B475
"Famicom Meijin Sen (Japan) (Rev A)","Famicom Meijin Sen (Japan) (Rev A).nes",262144,821F2F9F,CDDE1B2AD45C15EBCE38192DE5DE1413,3AE0469A8208023DAA32A7BB9925F3C5666FCB2D
"Famicom Meijin Sen (Japan)","Famicom Meijin Sen (Japan).nes",262144,9CFA55E7,7FE882BCA84AC9353A910990FA38A2E7,E7A9902E9800CEA94C8CC5D57A515606D0C403D9
"Famicom Shougi - Ryuuousen (Japan)","Famicom Shougi - Ryuuousen (Japan).nes",262144,149C0EC3,E1FA96F786194F68F3393248BC2AEF6E,782AC8E9C9073D4ACC058164E6F5BCB6639B91E3
"Famicom Shougi - Ryuuousen (Japan) (Beta)","Famicom Shougi - Ryuuousen (Japan) (Beta).nes",262144,2C5FAC1C,63069B45DC9DA57AF9A4A9570A3E12E5,22725F5112C497A5CFB2512FEBD6E8AA7DAB89F5
"Famicom Top Management (Japan)","Famicom Top Management (Japan).nes",262144,58507BC9,7B874B9ED3B6E223BC432F0085F6667E,947E5F3D386D2F4631FACEC26CE9A25FDFFC4889
"Famicom Wars (Japan) (Rev 0B)","Famicom Wars (Japan) (Rev 0B).nes",196608,9B547E05,922F4F86C8719D1CEB9B7773600348AC,882E0017099CC5784F3D3EFA66FAB4C38F83EC46
"Famicom Yakyuu Ban (Japan)","Famicom Yakyuu Ban (Japan).nes",262144,D0A9F4E1,D354585B310E084B64AADC61C71A5EE6,008AAD423DCDECCA9FC6B3BA8362556750E10AF5
"Family BASIC (Japan) (v3.0)","Family BASIC (Japan) (v3.0).nes",40960,B2530AFC,06D3FD2B1688A4648C457DB2C2C6B114,E232C621BFEDBFC6B100677BFBFC50B910248282
"Family BASIC (Japan) (v2.0a)","Family BASIC (Japan) (v2.0a).nes",40960,F7606810,D3C8E43E2808CFCE8285D1442438FB7F,17720AE1AFC6A3750384D6B082391C0C2F8A0699
"Family BASIC (Japan) (v2.1a)","Family BASIC (Japan) (v2.1a).nes",40960,895037BC,3C16A795A37046302CB0738282247567,8E90D9A6A6090307A7E408D1C1704D09BA8F94FC
"Family Block (Japan)","Family Block (Japan).nes",163840,0BB5B3A0,D2479A64720500A9F9F5792790D4E902,293866007DADF623F9775DCF26AFF5F7CD64729A
"Family Boxing (Japan)","Family Boxing (Japan).nes",131072,5B4C6146,683D0E36B334438CAB189889D98DE094,8904A8BF6F667ED977F2121AC887C7FE0CB969F0
"Family Circuit (Japan)","Family Circuit (Japan).nes",163840,9CBC8253,769CFED947C7714BC5A5FA4F18F6EA17,7AA2C4E1169F0BB1DB95F515456FB75E16461B60
"Family Circuit '91 (Japan)","Family Circuit '91 (Japan).nes",655360,C247CC80,3B164772BED2C7F0A46DD9BC2B027DEF,1C476C795CFC17E987C22FFD6F09BAF1396ED2C9
"Family Feud (USA)","Family Feud (USA).nes",163840,51BEE3EA,E2297D6FBD42A09B162E84507ACF4C04,1CCE6AD433E22F3C0933AAE4B8C61E7299083968
"Family Jockey (Japan)","Family Jockey (Japan).nes",65536,3719A26D,28DD4683BD206046A3E97ECD1ABBD464,F8207CE6E3E8FBB450F84480436BB584DB90FDDD
"Family Mahjong (Japan)","Family Mahjong (Japan).nes",196608,C6557E02,9430962B99EAEC0F191F76CF1618BC06,6F4905C30E58C58286F34117295F3091501EB2FF
"Family Mahjong (Japan) (Rev A)","Family Mahjong (Japan) (Rev A).nes",196608,F5CEEF8F,97400FFA7CC140E028E2C49177689C33,E6B11A16D435F8AF39E22D3FB73C92584C7FDE82
"Family Mahjong II - Shanghai e no Michi (Japan)","Family Mahjong II - Shanghai e no Michi (Japan).nes",196608,DD29FD59,09788949E0636D9F003D22AB4C53BBC9,F349533119E3D3FEBCD8109ABFD1A2460867D8FF
"Family Pinball (Japan)","Family Pinball (Japan).nes",196608,491D8CDB,9E4976A3357492471A303E9C35BF6A73,17B90FCF73B3D6650739DEEFA3C6C4AA303C527D
"Family Quiz - 4-nin wa Rival (Japan)","Family Quiz - 4-nin wa Rival (Japan).nes",131072,07910BF9,971EBDBA8BDA382C6EEB00B04D1DA61D,2C56A7823DB3B963DE82BDFBC057E9BD5DFA77A8
"Family School (Japan)","Family School (Japan).nes",262144,F568A7A4,CCD80D3AD9E1BD4ED9FF08DB0BBFB61D,CA9257C01F6E190F7AE7998A3C1C681903EE0530
"Family Tennis (Japan)","Family Tennis (Japan).nes",131072,A49253C6,5C610CF4F398892088BFC92ADB52D0B4,24445905810FA874EDC6758C4AF6B1A3845A7F0D
"Family Trainer 1 - Athletic World (Japan) (Rev 1)","Family Trainer 1 - Athletic World (Japan) (Rev 1).nes",65536,60AD090A,E9F49B65B0568A3D3CECF9BB8A9759A5,8E3E1EEDFAF913658ED81BC65481FD8E18E41138
"Family Trainer 1 - Athletic World (Japan)","Family Trainer 1 - Athletic World (Japan).nes",65536,0354868A,875FE77F1C9B5C694F57F00FC0805538,8D8D5A3BF2776FAE34C752899B8AA49173A9C868
"Family Trainer 10 - Rairai Kyonsees (Japan) (Beta)","Family Trainer 10 - Rairai Kyonsees (Japan) (Beta).nes",65536,E4A6E151,27D986AC6A8A18AE74B91650AA9FC06A,D72724B55BE377D6D6663FF29A641593D07CF9CC
"Family Trainer 10 - Rairai Kyonsees (Japan)","Family Trainer 10 - Rairai Kyonsees (Japan).nes",65536,9044550E,240AD8D0F016C97E62688CA277E05152,55DD499F92B7536EE740E18785A9113257E18838
"Family Trainer 2 - Running Stadium (Japan)","Family Trainer 2 - Running Stadium (Japan).nes",65536,EA90F3E2,BE4DA759AAEC8F11F82C18B05A2FC131,AA511B101CD5E32F27E20A901E40D90A270FD980
"Family Trainer 3 - Aerobics Studio (Japan)","Family Trainer 3 - Aerobics Studio (Japan).nes",65536,29DE87AF,4EDC1F8B3435777EE6135F2B6D02A38F,2FFA0582F4B7755C18D4973F3CC4A1ABFF9C1E6C
"Family Trainer 4 - Jogging Race (Japan)","Family Trainer 4 - Jogging Race (Japan).nes",163840,2F128512,E1F1F7D3882BB8FE89203D0725AFFB15,7708275B2C36B180D252FC9528843D89753BCA1F
"Family Trainer 5 - Meiro Daisakusen (Japan)","Family Trainer 5 - Meiro Daisakusen (Japan).nes",262144,370CEB65,7816269605214EF1646E6317AF5140E0,43ABFA9259B10D3B6EE84D39B6F24AF7A71C85C4
"Family Trainer 6 - Manhattan Police (Japan)","Family Trainer 6 - Manhattan Police (Japan).nes",262144,BBA58BE5,CCF2120EC0E587CF7BD84042B12A34B4,A268031A553F9C61D5D4E023A4FEAC555B50A870
"Family Trainer 7 - Daiundoukai (Japan)","Family Trainer 7 - Daiundoukai (Japan).nes",65536,6CCA1C1F,F57EE4DCDFB0971642E718173B865A97,BBE55E0446641404867EE1A800CA8EE33D09C682
"Family Trainer 8 - Totsugeki! Fuuun Takeshi-jou (Japan)","Family Trainer 8 - Totsugeki! Fuuun Takeshi-jou (Japan).nes",65536,8A12A7D9,23BEE6EC0DABECD7895F859959288A24,05B791369A42E4999847374D3FE304D5678AD75C
"Family Trainer 9 - Fuuun Takeshi-jou 2 (Japan)","Family Trainer 9 - Fuuun Takeshi-jou 2 (Japan).nes",163840,5CD5FDA4,E419F36129518CC08F6875CFFF016208,9E93C33022059FA4F7ABD1AEBD83246C5524BAE3
"Famista '89 - Kaimaku Ban!! (Japan)","Famista '89 - Kaimaku Ban!! (Japan).nes",196608,4F2F1846,326314BF5913F67EDAEEE83CAFF1B8FB,0CE769F52E0BB8EF3F3C531A621B1261C052A640
"Famista '90 (Japan)","Famista '90 (Japan).nes",262144,0C1792DA,BF22D20BD7C5FC506917FFCACA2D8466,35E9B4576DC45D5E67CFAD274D67D4FB37DFC921
"Famista '91 (Japan)","Famista '91 (Japan).nes",262144,808606F0,927E8408E3B47A75AACEB7A2D5D44E45,DF2ACBD6F6F89AEFF03881DD3F9FE5041DE05468
"Famista '92 (Japan)","Famista '92 (Japan).nes",262144,6EC51DE5,0F2FD4D3EDBF203BA7AFDCA66604EE74,8F8B117F837C0D8C84EFD678FB29346404E70BF6
"Famista '93 (Japan)","Famista '93 (Japan).nes",262144,ADFFD64F,9F46490C0D22390BBC7DD3577473A1F9,D8E653E5DDB20843B4220A4EBB8C9EAF7A72EA00
"Famista '94 (Japan)","Famista '94 (Japan).nes",262144,429103C9,68ED2A130276A5A890BC9DE8097D44F1,0B5DD380A4656FDE916E5A5D99DAC64A7D9B71FB
"Fan Kong Jing Ying (China) (Unl)","Fan Kong Jing Ying (China) (Unl).nes",1048576,FB2B6B10,F652B087695C18B80DF806B37DD4EEE2,BFA31777E077E64AF0E274B5A22B57C6765D36E1
"Fantastic Adventures of Dizzy, The (USA) (Aladdin Compact Cartridge) (Unl)","Fantastic Adventures of Dizzy, The (USA) (Aladdin Compact Cartridge) (Unl).nes",262144,F732C8FD,8C8E0F565257835BEFB2FD727049B413,102BD0C46C5718C979EB1AC387DADE6F6EB70EE4
"Fantastic Adventures of Dizzy, The (USA) (Unl)","Fantastic Adventures of Dizzy, The (USA) (Unl).nes",262144,38FBCC85,6D737D70286A700C2F0352F22D95B688,90196DBFC5337B56106B33891C5FA4B2267F3732
"Fantasy Zone (Japan)","Fantasy Zone (Japan).nes",131072,10119E6B,8471E1EE89C218A4CFC3B94FB506CEA4,1854E0A1FDEBEF05ED303CA85E9A4CC2849254C5
"Fantasy Zone (USA) (Unl)","Fantasy Zone (USA) (Unl).nes",131072,0FFDE258,FA5DCC5882D8BB1C209F7C75D23C50C9,27D25B95DD212854571BC8F5A083F84825631331
"Fantasy Zone 2 - Opa-Opa no Namida (Japan)","Fantasy Zone 2 - Opa-Opa no Namida (Japan).nes",262144,0C5A6297,445D7172F66DE3DCEB9CF02762CF0BDB,6F4F809F7C4FB78A13C512CE0A4DC98E9C8803AE
"Faria (Japan)","Faria (Japan).nes",262144,F885D931,4F17D28EF72C5E2F2ADC754E9644D432,CD61B3CAD9BE75A271D1BE164885CA0D8070A2C9
"Faria - A World of Mystery & Danger! (USA)","Faria - A World of Mystery & Danger! (USA).nes",262144,45F03D2E,7A01E068AB53E51B8DA46DB592A1FCF4,376250E7C5FB2455CF5ED94F29D67C18C7366698
"Faxanadu (USA) (Rev A)","Faxanadu (USA) (Rev A).nes",262144,E71DB268,28EB470F84BCD54320FA890003D26402,D0C6AF83C44F2DC90BCB0792A69C93F8D167F988
"Faxanadu (USA)","Faxanadu (USA).nes",262144,57DD23D1,B3BB9296B5E1E0C83E90B6DA9E8A41AA,5B05C8859F356013D37F0545F5DE5FA1693DA5DA
"Faxanadu (Japan)","Faxanadu (Japan).nes",262144,A80FA181,80DF264C2B4C0BFB69003935AAD8F587,6501F61FD717AE603C2265D0DF074AC2A4DCB8C7
"Faxanadu (Europe)","Faxanadu (Europe).nes",262144,76C161E3,DA0DAE68CE4220D669FD032DBF5937A6,0711BC8D0BF42A0829391C2320393A0D3DF2DD1F
"FC Genjin - Freakthoropus Computerus (Japan)","FC Genjin - Freakthoropus Computerus (Japan).nes",393216,5F14DC48,FDE9CA4072030AE0089763A34B2A798C,006674B64A745443268EF4001B90C8F7A0FAD6DD
"Felix the Cat (USA)","Felix the Cat (USA).nes",262144,2CAAE01C,936B0157A2A547235F991AA44D77CF9E,CC03A83C6AD9BBB858EE5FF04E9E7B2362EEA06A
"Felix the Cat (Europe)","Felix the Cat (Europe).nes",262144,FBD48274,AC9DE7DB3EF91C525D86314C0DC84ADA,E8079FCA43A14A78D97EDF90DEFD4E822D4ECB8C
"Feng Shen Bang (Asia) (Unl)","Feng Shen Bang (Asia) (Unl).nes",1048576,41CF5B6A,97A660FB70152637C21CB220D15D9A4E,D132723FEC0275137CD1A3C65B0CC41C40D78F86
"Ferrari (Japan)","Ferrari (Japan).nes",262144,A485ABED,21D26A3AB5B0F56AEC70B162A9D8DF79,20EAD41AF2F51BAC2BDE8CAFDD248D8CF73745D3
"Ferrari Grand Prix Challenge (USA)","Ferrari Grand Prix Challenge (USA).nes",262144,CE77B4BE,67206B17D7A669C44D47A1E05D955D83,AD59864A6ED64F4B4DB36D2EE7D4C70C5A409C5A
"Ferrari Grand Prix Challenge (Europe)","Ferrari Grand Prix Challenge (Europe).nes",262144,53A9B53A,1221BE996B62DE20D847054CBBBC271B,1826D7C39AC1D49B20F07E9CFBBA6B87C0493797
"Fester's Quest (Europe)","Fester's Quest (Europe).nes",262144,68CF9B78,5DE24CD5374BA0937BD8A8152EAA669D,6576D3A7F52E509384A043E5230AE2DAB962E977
"Fester's Quest (USA)","Fester's Quest (USA).nes",262144,B6BF5137,4F2FB7724E7F69B4A5E651B1E43432AD,DF3AD62F4503170770FE36FB2BA8840E120F0896
"Field Combat (Japan)","Field Combat (Japan).nes",24576,1B45A73E,8CDD15B58199C088FD73D05BFAA20DB4,310B8C4A406B0CEB68C38E51FD0DBDFFE961A878
"Fighting Golf (Japan)","Fighting Golf (Japan).nes",262144,8308FED7,375F7547323B16DF21F454F5A79AA332,B26BAF7ED80D33B8DA1FF4EABB00D76E0ECFB03C
"Fighting Hero (Asia) (Unl)","Fighting Hero (Asia) (Unl).nes",393216,637134E8,03D737D6B0E1991B7DAA786B13BC17B7,334DCB823B480957057C2B4C72686BE26823C12A
"Fighting Hero III (Asia) (Unl)","Fighting Hero III (Asia) (Unl).nes",786432,FD55DD33,39773F71AE370FE17AA3E804971F5532,D6200AA0C8262B4ACDDD057C0348FD69E418FB48
"Fighting Road (Japan)","Fighting Road (Japan).nes",262144,974D0745,688B570982C319AB449E177F033978CF,F33FD92B697287626346296DA1314E617BC72DA4
"Final Combat (Asia) (NTSC) (Unl)","Final Combat (Asia) (NTSC) (Unl).nes",81920,3E170708,09EBFF73D014A70C96956608F8CAA816,5A6DFDD8A2D62EBE313A6FDB986C3585077BB348
"Final Combat (Asia) (PAL) (Unl)","Final Combat (Asia) (PAL) (Unl).nes",81920,58D1F46A,DA67A017AECE2299B4C1A5DBA5905049,DFAF6D81280ADBEB2ADF3DAB38E536B0F2FDFC76
"Final Fantasy (USA)","Final Fantasy (USA).nes",262144,CEBD2A31,24AE5EDF8375162F91A6846D3202E3D6,C9CFBF5455085E198DCE039298B083CD6FC88BCE
"Final Fantasy (Japan) (Rev B)","Final Fantasy (Japan) (Rev B).nes",262144,F71E7EDD,4DD4C6F2FF32DA4D75DCD139F75150EC,C4C46C1BE3EBF607E31010CC63258F22A5D98F84
"Final Fantasy (Japan) (Rev 0A)","Final Fantasy (Japan) (Rev 0A).nes",262144,466EFDC2,881ECC27F0D3B10ED63DCC68C2B20ADC,E6296AD3E929E9B0219AC1D4364990E2BA912F4C
"Final Fantasy I, II (Japan)","Final Fantasy I, II (Japan).nes",524288,C9556B36,4B3342B2C143DADE012DF596E2B31174,215D399EE058D3BE160916ED7596BCAA12F9ADEA
"Final Fantasy II (USA) (Proto)","Final Fantasy II (USA) (Proto).nes",262144,93A2EEFB,4D259632662A581F8F80FF3DC1C3498E,DC358D47102A7C4E2ACE49121B9DF3E4C771081A
"Final Fantasy II (Japan)","Final Fantasy II (Japan).nes",262144,D29DB3C7,374ED97BE8BFD628F6B359A720549ECD,070D4CE87EB4ABCC9F9D2A97B8010881CB57DEFA
"Final Fantasy III (Japan)","Final Fantasy III (Japan).nes",524288,57E220D0,45A7D02ED0DC92665A30DA1D9B4AF35D,8690012D6F4D6D11D16FD9AF7B200D9B6EA2504E
"Final Lap (Japan)","Final Lap (Japan).nes",262144,5746A461,A35B42B02D58F63473F4B2FBCFC0FE83,0BD17A939A1382BD1F6BE776708B5F375E987C4A
"Final Mission (Japan)","Final Mission (Japan).nes",262144,D5941AA9,6CE5705FFA2B1FD74E77A861506B8768,8C964BB1CB0586317191AF1E143AEBE245C42B76
"Fire 'n Ice (USA)","Fire 'n Ice (USA).nes",262144,D534C98E,D2181FAB244DF1E472C21ACDE28BAB2F,1DCA84FC0AA70AA7FBA8384585C4B82D0778BFF4
"Fire Dragon (Asia) (Unl)","Fire Dragon (Asia) (Unl).nes",40960,B69F7C0F,C2A6753B7A30FECAFA1A8A302097727C,01B2FE80F675C2787F0C7EFCF588DE8F47B25636
"Fire Emblem (Japan)","Fire Emblem (Japan).nes",393216,97CAD370,31B08C81F13E76247F052E80669E8C41,DD1D51FF6D57E83F2BE0517F1DE821C85ABE86AE
"Fire Emblem Gaiden (Japan)","Fire Emblem Gaiden (Japan).nes",393216,A98046B8,80EB5117DE63422898C3E80EB8745BAC,49E7B12A17E9C339F93069895D5A98D10A43E266
"Fire Hawk (USA) (Unl)","Fire Hawk (USA) (Unl).nes",131072,1BC686A8,E5824EA066127192C9EA43B63B7E3EA5,334781C830F135CF30A33E392D8AAA4AFDC223F9
"Fisher-Price - Firehouse Rescue (USA)","Fisher-Price - Firehouse Rescue (USA).nes",65536,38946C43,8828EDFCF54E4B05827B0FF1B0831A4A,57770A1B73CE69B2FEB9799A9AB98DFA41ADF86D
"Fisher-Price - I Can Remember (USA)","Fisher-Price - I Can Remember (USA).nes",65536,267DE4CC,CDA9B5267E3241DDEEAC4458E62FC945,A253DF603C207866373BE55076A5616E3BCAD2EB
"Fisher-Price - Perfect Fit (USA)","Fisher-Price - Perfect Fit (USA).nes",65536,B9762DA8,1363F9AD05D018A05E5BE8EB376CD6FD,7DCDF7DB93B040D484B190FDFD976BB67AB72DB0
"Fist of the North Star (USA)","Fist of the North Star (USA).nes",131072,06D72C83,5560AB6BD04C8738728F55BBC23C992D,F9809D020BC0AFF976CD657E3F923D81EBD6C6B1
"Flappy (Japan)","Flappy (Japan).nes",40960,CF701DA4,E303A24F093BF17C426990F5796E90D5,15D6A10515847F21504E9FF07CA1FF4960CE12FB
"Fleet Commander (Japan)","Fleet Commander (Japan).nes",65536,B811C054,8E2221E5BDB3699B79AC23A4FD4B52CB,17C48004AAE3CF2F444D0B798C2726BC288229E3
"Flight of the Intruder (USA)","Flight of the Intruder (USA).nes",131072,F92BE7F2,D618405FA472C1F1C0C8E3754A498C4C,4AD225EB6EA778E4C221268CB0FD7EAA3977D86D
"Flintstones, The - The Rescue of Dino & Hoppy (Europe)","Flintstones, The - The Rescue of Dino & Hoppy (Europe).nes",393216,AC609320,3CC1CC72497CBF67AA00482E02D2ACAC,5595B7F939E179CFDBD26AE12C43C56A7B846000
