"Title","MetaScore","UserScore","Publisher","Developer","Genre","Date","BoxArtFrontURL","BoxArtBackURL","ReferenceURL",
"Abadox: The Deadly Inner War","","7.1","Milton Bradley","ITL","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/6/2/587062_49848_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/2/587062_49848_back.jpg","http://www.gamespot.com/abadox-the-deadly-inner-war/platform/nes/"
"Action 52","","2.8","Active Enterprises","","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/6/4/587064_49849_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/4/587064_49849_back.jpg","http://www.gamespot.com/action-52-1991/platform/nes/"
"Adam & Eve","","8.0","NTDEC","Mega Soft","Action","","http://image.gamespotcdn.net/gamespot/images/box/4/2/7/988427_157893_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/2/7/988427_157893_back.jpg","http://www.gamespot.com/adam-and-eve/platform/nes/"
"The Addams Family","","6.9","Ocean","","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/6/5/587065_49850_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/5/587065_49850_back.jpg","http://www.gamespot.com/the-addams-family-1992/platform/nes/"
"The Addams Family: Pugsley's Scavenger Hunt","","6.7","Ocean","Enigma Variations","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/6/6/587066_49851_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/6/587066_49851_back.jpg","http://www.gamespot.com/the-addams-family-pugsleys-scavenger-hunt/platform/nes/"
"Advanced Dungeons & Dragons: Dragons of Flame","","3.6","Pony Canyon","Atelier Double","Role-Playing","","http://image.gamespotcdn.net/gamespot/images/box/6/4/3/570643_9593_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/4/3/570643_9593_back.jpg","http://www.gamespot.com/advanced-dungeons-and-dragons-dragons-of-flame/platform/nes/"
"Advanced Dungeons & Dragons: DragonStrike","","5.2","Pony Canyon","Westwood Associates","Action","","http://image.gamespotcdn.net/gamespot/images/box/4/0/7/563407_29014_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/0/7/563407_29014_back.jpg","http://www.gamespot.com/advanced-dungeons-and-dragons-dragonstrike/platform/nes/"
"Advanced Dungeons & Dragons: Heroes of the Lance","","5.6","FCI, Inc.","Natsume","Role-Playing","","http://image.gamespotcdn.net/gamespot/images/box/3/3/5/587335_52696_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/3/5/587335_52696_back.jpg","http://www.gamespot.com/advanced-dungeons-and-dragons-heroes-of-the-lan/platform/nes/"
"Advanced Dungeons & Dragons: Hillsfar","","6.4","Pony Canyon","SSI","Role-Playing","","http://image.gamespotcdn.net/gamespot/images/box/3/3/7/587337_57032_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/3/7/587337_57032_back.jpg","http://www.gamespot.com/advanced-dungeons-and-dragons-hillsfar/platform/nes/"
"Advanced Dungeons & Dragons: Pool of Radiance","","7.0","FCI, Inc.","Marionette","Role-Playing","","http://image.gamespotcdn.net/gamespot/images/box/5/1/8/587518_57033_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/1/8/587518_57033_back.jpg","http://www.gamespot.com/advanced-dungeons-and-dragons-pool-of-radiance/platform/nes/"
"Adventure Island","","7.8","Hudson","","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/6/7/587067_49852_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/7/587067_49852_back.jpg","http://www.gamespot.com/adventure-island/platform/nes/"
"Adventure Island 3","","7.9","Hudson","","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/6/9/587069_49854_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/9/587069_49854_back.jpg","http://www.gamespot.com/adventure-island-3/platform/nes/"
"Adventure Island II","","7.9","Hudson","Now Production","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/6/8/587068_49853_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/6/8/587068_49853_back.jpg","http://www.gamespot.com/adventure-island-ii/platform/nes/"
"Disney Adventures in the Magic Kingdom","","6.8","Capcom","","Action","","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/587232_51635_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/587232_51635_back.jpg","http://www.gamespot.com/disney-adventures-in-the-magic-kingdom/platform/nes/"
"The Adventures of Bayou Billy","","6.2","Konami","","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/7/0/587070_39444_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/7/0/587070_39444_back.jpg","http://www.gamespot.com/the-adventures-of-bayou-billy/platform/nes/"
"Adventures of Dino Riki","","6.3","Hudson Soft","Hudson","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/7/1/587071_51625_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/7/1/587071_51625_back.jpg","http://www.gamespot.com/adventures-of-dino-riki/platform/nes/"
"The Adventures of Dr. Franken","","8.0","Elite","Cygnus","Action","","","","http://www.gamespot.com/the-adventures-of-dr-franken-1999/platform/nes/"
"The Adventures of Gilligan's Island","","4.4","Bandai","Human Entertainment","Action","","http://image.gamespotcdn.net/gamespot/images/box/3/0/5/587305_46922_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/0/5/587305_46922_back.jpg","http://www.gamespot.com/the-adventures-of-gilligans-island/platform/nes/"
"Adventures of Lolo","","7.9","Nintendo","HAL Labs","Puzzle","","http://image.gamespotcdn.net/gamespot/images/box/0/7/3/587073_39446_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/7/3/587073_39446_back.jpg","http://www.gamespot.com/adventures-of-lolo-1989/platform/nes/"
"Adventures of Lolo 2","","7.7","Nintendo","HAL Labs","Puzzle","","http://image.gamespotcdn.net/gamespot/images/box/0/7/4/587074_39447_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/7/4/587074_39447_back.jpg","http://www.gamespot.com/adventures-of-lolo-2/platform/nes/"
"Adventures of Lolo 3","","8.2","Hal","HAL Labs","Puzzle","","http://image.gamespotcdn.net/gamespot/images/box/0/7/5/587075_51626_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/7/5/587075_51626_back.jpg","http://www.gamespot.com/adventures-of-lolo-3/platform/nes/"
"The Adventures of Rad Gravity","","6.6","Activision","Interplay","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/7/6/587076_39448_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/7/6/587076_39448_back.jpg","http://www.gamespot.com/the-adventures-of-rad-gravity/platform/nes/"
"The Adventures of Rocky and Bullwinkle and Friends","","4.0","THQ","Radical Entertainment","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/7/7/587077_49855_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/7/7/587077_49855_back.jpg","http://www.gamespot.com/the-adventures-of-rocky-and-bullwinkle-and-friends/platform/nes/"
"Adventures of Tom Sawyer","","6.1","Seta Corporation","WinkySoft","Action","","http://image.gamespotcdn.net/gamespot/images/box/3/8/0/563380_49619_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/8/0/563380_49619_back.jpg","http://www.gamespot.com/adventures-of-tom-sawyer/platform/nes/"
"After Burner","","7.5","Tengen","SunSoft","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/7/8/587078_75186_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/7/8/587078_75186_back.jpg","http://www.gamespot.com/after-burner/platform/nes/"
"Ai Sensei no Oshiete: Watashi no Hoshi","","5.4","Irem","","Action","","http://image.gamespotcdn.net/gamespot/images/box/7/1/2/570712_9740_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/1/2/570712_9740_back.jpg","http://www.gamespot.com/ai-sensei-no-oshiete-watashi-no-hoshi/platform/nes/"
"Aigiina no Yogen: Balubalouk no Densetsu Yori","","6.7","Vic Tokai","","Action","","http://image.gamespotcdn.net/gamespot/images/box/3/2/8/578328_18278_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/2/8/578328_18278_back.jpg","http://www.gamespot.com/aigiina-no-yogen-balubalouk-no-densetsu-yori/platform/nes/"
"Air Fortress","","7.3","Hal","HAL Labs","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/7/9/587079_49856_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/7/9/587079_49856_back.jpg","http://www.gamespot.com/air-fortress/platform/nes/"
"Airball","","7.5","Tengen","Novotrade","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/8/0/587080_39450_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/8/0/587080_39450_back.jpg","http://www.gamespot.com/airball-1999/platform/nes/"
"Airwolf","","7.0","Acclaim","Beam Software","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/8/2/587082_49857_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/8/2/587082_49857_back.jpg","http://www.gamespot.com/airwolf/platform/nes/"
"Airwolf (Japan)","","6.9","Kyugo Boueki","","Action","","http://image.gamespotcdn.net/gamespot/images/box/2/6/8/935268_79329_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/6/8/935268_79329_back.jpg","http://www.gamespot.com/airwolf-japan/platform/nes/"
"Akagawa Jirou no Yuurei Ressha","","5.5","King Records","Mighty Craft","Adventure","","http://image.gamespotcdn.net/gamespot/images/box/5/3/5/570535_9496_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/3/5/570535_9496_back.jpg","http://www.gamespot.com/akagawa-jirou-no-yuurei-ressha/platform/nes/"
"Akira","","8.5","Taito Corporation","TOSE","Adventure","","http://image.gamespotcdn.net/gamespot/images/box/2/0/2/577202_17127_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/0/2/577202_17127_back.jpg","http://www.gamespot.com/akira-1988/platform/nes/"
"Akuma-kun: Makai no Wana","","3.8","Bandai","TOSE","Role-Playing","","http://image.gamespotcdn.net/gamespot/images/box/5/6/5/579565_20015_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/6/5/579565_20015_back.jpg","http://www.gamespot.com/akuma-kun-makai-no-wana/platform/nes/"
"Akumajou Special: Boku Dracula-kun","","7.0","Konami","","Action","","http://image.gamespotcdn.net/gamespot/images/box/7/0/7/579707_19662_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/0/7/579707_19662_back.jpg","http://www.gamespot.com/akumajou-special-boku-dracula-kun/platform/nes/"
"Al Unser Jr.'s Turbo Racing","","6.5","Data East","","Driving","","http://image.gamespotcdn.net/gamespot/images/box/0/8/3/587083_39453_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/8/3/587083_39453_back.jpg","http://www.gamespot.com/al-unser-jr-s-turbo-racing/platform/nes/"
"Aladdin (Bootleg)","","5.7","JY Company","Hummer Team","Action","","http://image.gamespotcdn.net/gamespot/images/box/2/1/9/662219_252871_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/1/9/662219_252871_back.jpg","http://www.gamespot.com/aladdin-bootleg/platform/nes/"
"Alfred Chicken","","6.5","Mindscape Inc.","Twilight Games","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/8/4/587084_49858_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/8/4/587084_49858_back.jpg","http://www.gamespot.com/alfred-chicken/platform/nes/"
"Alien 3","","5.8","LJN Ltd.","Probe Entertainment Limited","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/8/5/587085_51627_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/8/5/587085_51627_back.jpg","http://www.gamespot.com/alien-3/platform/nes/"
"Alien Syndrome","","6.7","Tengen","Sanritsu","Action","","http://image.gamespotcdn.net/gamespot/images/box/3/8/1/563381_49620_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/8/1/563381_49620_back.jpg","http://www.gamespot.com/alien-syndrome-1988/platform/nes/"
"All-Pro Basketball","","7.1","Vic Tokai","Aicom","Sports","","http://image.gamespotcdn.net/gamespot/images/box/0/8/7/587087_49859_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/8/7/587087_49859_back.jpg","http://www.gamespot.com/all-pro-basketball/platform/nes/"
"Alpha Mission","","5.4","SNK","","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/8/8/587088_51628_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/8/8/587088_51628_back.jpg","http://www.gamespot.com/alpha-mission/platform/nes/"
"Amagon","","6.1","Sammy Studios","Aicom","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/8/9/587089_49860_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/8/9/587089_49860_back.jpg","http://www.gamespot.com/amagon/platform/nes/"
"America Daitouryou Senkyo: United State Presidental Race","","5.2","Hect","","Strategy","","http://image.gamespotcdn.net/gamespot/images/box/3/3/6/579336_19081_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/3/6/579336_19081_back.jpg","http://www.gamespot.com/america-daitouryou-senkyo-united-state-presidenta/platform/nes/"
"America Oudan Ultra Quiz: Shijou Saidai no Tatakai","","6.1","Tomy Corporation","Pixel","Action","","http://image.gamespotcdn.net/gamespot/images/box/6/0/8/570608_9079_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/0/8/570608_9079_back.jpg","http://www.gamespot.com/america-oudan-ultra-quiz-shijou-saidai-no-tatakai/platform/nes/"
"American Dream","","5.7","Coconuts Japan","Color Dreams","Action","","http://image.gamespotcdn.net/gamespot/images/box/4/7/8/579478_20345_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/7/8/579478_20345_back.jpg","http://www.gamespot.com/american-dream/platform/nes/"
"American Gladiators","","6.0","GameTek","Incredible Technologies","Sports","","http://image.gamespotcdn.net/gamespot/images/box/3/8/2/563382_45491_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/8/2/563382_45491_back.jpg","http://www.gamespot.com/american-gladiators/platform/nes/"
"Ankoku Shinwa: Yamato Takeru Densetsu","","5.2","Tokyo Shoseki","Zap","Adventure","","http://image.gamespotcdn.net/gamespot/images/box/4/1/6/579416_20505_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/4/1/6/579416_20505_back.jpg","http://www.gamespot.com/ankoku-shinwa-yamato-takeru-densetsu/platform/nes/"
"Antarctic Adventure","","7.2","Konami","","Action","","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/578232_35435_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/3/2/578232_35435_back.jpg","http://www.gamespot.com/antarctic-adventure/platform/nes/"
"Anticipation","","7.0","Nintendo","Rare Ltd.","Puzzle","","http://image.gamespotcdn.net/gamespot/images/box/0/9/1/587091_46857_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/9/1/587091_46857_back.jpg","http://www.gamespot.com/anticipation/platform/nes/"
"Aoki Ookami to Shiroki Meshika: Genchou Hishi","","6.0","Koei","","Strategy","","http://image.gamespotcdn.net/gamespot/images/box/7/1/1/570711_9108_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/1/1/570711_9108_back.jpg","http://www.gamespot.com/aoki-ookami-to-shiroki-meshika-genchou-hishi/platform/nes/"
"Arch Rivals: A Basket Brawl!","","7.5","Acclaim","Rare Ltd.","Sports","","http://image.gamespotcdn.net/gamespot/images/box/0/9/2/587092_51630_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/9/2/587092_51630_back.jpg","http://www.gamespot.com/arch-rivals-a-basket-brawl/platform/nes/"
"Archon","","8.1","Activision","Bulletproof Software","Strategy","","http://image.gamespotcdn.net/gamespot/images/box/0/9/3/587093_51631_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/9/3/587093_51631_back.jpg","http://www.gamespot.com/archon-1989/platform/nes/"
"Arctic","","4.7","Pony Canyon","","Puzzle","","http://image.gamespotcdn.net/gamespot/images/box/5/6/3/579563_20428_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/6/3/579563_20428_back.jpg","http://www.gamespot.com/arctic/platform/nes/"
"Argus","","5.8","Jaleco Entertainment","TOSE","Action","","http://image.gamespotcdn.net/gamespot/images/box/9/6/8/562968_18257_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/9/6/8/562968_18257_back.jpg","http://www.gamespot.com/argus/platform/nes/"
"Arkanoid","","7.7","Taito Corporation","","Action","","http://image.gamespotcdn.net/gamespot/images/box/3/8/3/563383_28997_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/8/3/563383_28997_back.jpg","http://www.gamespot.com/arkanoid/platform/nes/"
"Arkanoid II","","6.6","Taito Corporation","Daiei Seisakusho","Action","","http://image.gamespotcdn.net/gamespot/images/box/5/6/6/578566_18535_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/6/6/578566_18535_back.jpg","http://www.gamespot.com/arkanoid-ii/platform/nes/"
"Arkista's Ring","","6.8","American Sammy","NMK","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/9/4/587094_51632_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/9/4/587094_51632_back.jpg","http://www.gamespot.com/arkistas-ring/platform/nes/"
"Armadillo","","7.0","IGS","AIM","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/9/5/587095_3437_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/9/5/587095_3437_back.jpg","http://www.gamespot.com/armadillo/platform/nes/"
"Artelius","","6.4","Nihon Bussan","","Role-Playing","","http://image.gamespotcdn.net/gamespot/images/box/5/0/4/578504_19009_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/0/4/578504_19009_back.jpg","http://www.gamespot.com/artelius/platform/nes/"
"Asmik-Kun Land","","4.0","Asmik Ace Entertainment, Inc","Graphic Research","Action","","http://image.gamespotcdn.net/gamespot/images/box/6/2/0/570620_9153_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/6/2/0/570620_9153_back.jpg","http://www.gamespot.com/asmik-kun-land/platform/nes/"
"Asterix","","5.5","Infogrames","Bit Managers","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/9/6/587096_39459_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/9/6/587096_39459_back.jpg","http://www.gamespot.com/asterix-1993/platform/nes/"
"Astro Fang: Super Machine","","7.4","A-Wave","","Driving","","http://image.gamespotcdn.net/gamespot/images/box/7/1/2/579712_20864_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/7/1/2/579712_20864_back.jpg","http://www.gamespot.com/astro-fang-super-machine/platform/nes/"
"Astro Robo Sasa","","6.8","ASCII Entertainment","MTL","Action","","http://image.gamespotcdn.net/gamespot/images/box/2/4/5/578245_18697_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/4/5/578245_18697_back.jpg","http://www.gamespot.com/astro-robo-sasa/platform/nes/"
"Astyanax","","6.6","Jaleco Entertainment","","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/9/7/587097_51633_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/9/7/587097_51633_back.jpg","http://www.gamespot.com/astyanax/platform/nes/"
"Athena","","6.2","SNK","Micronics","Action","","http://image.gamespotcdn.net/gamespot/images/box/3/8/5/563385_52695_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/3/8/5/563385_52695_back.jpg","http://www.gamespot.com/athena/platform/nes/"
"Athletic World","","6.8","Bandai","Human Entertainment","Sports","","http://image.gamespotcdn.net/gamespot/images/box/0/9/8/587098_2753_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/9/8/587098_2753_back.jpg","http://www.gamespot.com/athletic-world/platform/nes/"
"Super Pitfall II","","5.8","SunSoft","","Action","","http://image.gamespotcdn.net/gamespot/images/box/2/8/9/578289_19027_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/2/8/9/578289_19027_back.jpg","http://www.gamespot.com/atlantis-no-nazo/platform/nes/"
"Attack Animal Gakuen","","6.4","Pony Canyon","Scitron & Art","Action","","http://image.gamespotcdn.net/gamespot/images/box/5/3/4/578534_18989_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/5/3/4/578534_18989_back.jpg","http://www.gamespot.com/attack-animal-gakuen/platform/nes/"
"Attack of the Killer Tomatoes","","5.8","THQ","Imagineering Inc","Action","","http://image.gamespotcdn.net/gamespot/images/box/0/9/9/587099_51634_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/0/9/9/587099_51634_back.jpg","http://www.gamespot.com/attack-of-the-killer-tomatoes/platform/nes/"
"Aussie Rules Footy","","8.0","Beam Entertainment","Beam Software","Sports","","http://image.gamespotcdn.net/gamespot/images/box/1/1/8/578118_18928_front.jpg","http://image.gamespotcdn.net/gamespot/images/box/1/1/8/578118_18928_back.jpg","http://www.gamespot.com/aussie-rules-footy/platform/nes/"
